병원명,주소,응급실운영,응급실가능,중증화상,응급내시경,전화번호,기관코드,위도,경도
광주기독병원,광주광역시 남구 양림로 37 (양림동),1,N,Y,N,062-650-5119,A1500021,35.136682861070376,126.91198438867642
동아병원,광주광역시 남구 대남대로 238 (백운동),1,N,N,N,062-650-2515,A1500013,35.1347601218069,126.89990593135208
광주씨티병원,광주광역시 남구 서문대로654번길 5 (진월동),1,N,N,N,062-460-7119,A1500009,35.11776253778263,126.8995475485602
전남대학교병원,광주광역시 동구 제봉로 42 (학동),1,Y,Y,Y,062-220-6801,A1500002,35.141852541291165,126.92158688926376
조선대학교병원,광주광역시 동구 필문대로 365 (서석동),1,N,Y,N,062-220-3280,A1500001,35.13854706991291,126.92683853357782
서광병원,광주광역시 서구 금화로59번길 6 (금호동),1,N,Y,N,062-600-8119,A1500020,35.132568331498724,126.85552710578938
상무병원,광주광역시 서구 상무자유로 181-7 (치평동),1,N,N,N,062-600-7119,A1500022,35.15242290709782,126.85391840686486
광주한국병원,광주광역시 서구 월드컵4강로 223 (쌍촌동),1,N,Y,N,062-380-3119,A1500016,35.15618108764772,126.86880878336211
미래로21병원,광주광역시 서구 화운로 1 (화정동),1,N,Y,N,062-450-1119,A1500014,35.14102639112141,126.88528864095338
광주병원,광주광역시 북구 면앙로139번길 51 (두암동),1,N,Y,N,062-260-7119,A1500015,35.178949208210625,126.9281507303555
운암한국병원,광주광역시 북구 북문대로 191 (운암동),1,N,Y,N,062-608-8119,A1500010,35.18513334103592,126.86956982285518
광주현대병원,광주광역시 북구 설죽로 291 (용봉동),1,N,Y,N,062-570-0119,A1500003,35.18565646419727,126.89798149528589
광주일곡병원,광주광역시 북구 양일로 309 (일곡동),1,N,Y,N,062-608-7119,A1500005,35.20286119554041,126.89760857687219
광주희망병원,광주광역시 북구 하서로 429 (용두동),1,N,Y,N,062-608-6119,A1500007,35.21344678097714,126.87471568685204
KS병원,광주광역시 광산구 왕버들로 220 (수완동),1,N,Y,N,062-975-9119,A1500019,35.197963178976366,126.83322475289853
첨단종합병원,광주광역시 광산구 첨단중앙로170번길 59 (쌍암동),1,N,Y,N,062-601-8119,A1500011,35.22113373578457,126.84530205666944
신가병원,광주광역시 광산구 목련로 316 (신가동),1,N,N,N,062-610-8119,A1500006,35.177619444444446,126.8298
광주센트럴병원,"광주광역시 광산구 수완로 6, A동1,3,5,6층/B동동 (신가동)",1,N,Y,N,062-960-5119,A1502007,35.185893735732634,126.82909951503984
하남성심병원,광주광역시 광산구 용아로 259 하남성심병원 (산정동),1,N,N,N,062-958-1250,A1500017,35.1664063968,126.800894228816
광주수완병원,광주광역시 광산구 임방울대로 370 (수완동),1,N,N,N,062-958-1119,A1500018,35.19303617477934,126.82420927535313
광주보훈병원,광주광역시 광산구 첨단월봉로 99 (산월동),1,N,N,N,062-602-6119,A1500004,35.207797211036485,126.84947860623933
