용도,명칭,폭,길이,저수용량(톤),소지재지번주소,위도,경도
저수지,선교제,9.0,65.0,72400,광주광역시 동구 선교동 184번지,35.08555,126.9506
저수지,내지제,7.2,50.0,20100,광주광역시 동구 내남동 766번지,35.09127,126.9264
저수지,주남제,5.2,43.0,9700,광주광역시 동구 월남동 44-2번지,35.09943,126.952
저수지,화산제,5.8,110.0,35300,광주광역시 동구 용산동 611-1번지,35.11452,126.9166
저수지,소태제,11.0,60.0,16300,광주광역시 동구 소태동 33-1번지,35.11263,126.9572
저수지,만호제,4.0,108.0,15600,광주광역시 서구 금호동 676번지,35.1359,126.847
저수지,전평제,3.5,147.0,59400,광주광역시 서구 매월동 519-1번지,35.11557,126.8482
저수지,봉학제,5.0,125.0,33700,광주광역시 서구 용두동 145-1번지,35.09773,126.8228
저수지,매월제,5.8,68.0,13600,광주광역시 서구 매월동 684-2번지,35.10895,126.8485
저수지,마현제,4.0,150.0,15500,광주광역시 서구 용두동 503-1번지,35.09529,126.8159
저수지,백마1제,3.6,60.0,3000,광주광역시 서구 세하동 363번지,35.11689,126.836
저수지,백마2제,3.5,50.0,2400,광주광역시 서구 세하동 23번지,35.11861,126.8388
저수지,사동제,5.4,74.0,10700,광주광역시 서구 서창동 65번지,35.10406,126.832
저수지,산정제,4.0,36.0,600,광주광역시 서구 용두동 96번지,35.09413,126.8207
저수지,노대북,6.5,57.0,9000,광주광역시 남구노대동 255번지,35.1074,126.9095
저수지,노대남,12.0,78.0,53100,광주광역시 남구 노대동 50번지,35.09387,126.9115
저수지,진월,5.0,86.0,30100,광주광역시 남구 진월동 138번지,35.11367,126.9073
저수지,향등,11.0,177.0,180000,광주광역시 남구 덕남동 370번지,35.09169,126.8898
저수지,덕남,11.0,69.0,20300,광주광역시 남구 덕남동 35번지,35.08975,126.9028
저수지,도동,8.0,113.0,32600,광주광역시 남구 행암동 460번지,35.09644,126.882
저수지,도촌1,8.0,77.0,60000,광주광역시 남구 도금동 97번지,35.07497,126.8446
저수지,도촌2,3.0,170.0,50000,광주광역시 남구 도금동 16번지,35.07649,126.8487
저수지,압촌,5.2,98.0,20000,광주광역시 남구 압촌동 109번지,35.09084,126.8371
저수지,이동,4.8,157.0,20000,광주광역시 남구 원산동 455-2번지,35.09827,126.8522
저수지,맹간,4.7,150.0,50000,광주광역시 남구 압촌동 433번지,35.08212,126.8264
저수지,화장,5.0,117.0,30000,광주광역시 남구 화장동 344-2번지,35.07721,126.8105
저수지,농막,3.5,130.0,40000,광주광역시 남구 화장동 405-9번지,35.08549,126.8086
